#Image_Name Image_Time_UTC Pointing
h4554_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4554_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4568_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4568_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4568_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4603_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4603_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4603_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4603_0007_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4636_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4636_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4636_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4683_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4683_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4765_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4765_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4773_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4773_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4773_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4806_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4806_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4806_0007_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4847_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4847_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4847_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4847_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4855_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4855_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4855_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4880_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4880_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4888_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4888_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4888_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4913_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4913_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4913_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
